,original_title
291,Dracula's Daughter
292,The Ex-Mrs. Bradford
293,Follow the Fleet
294,Fury
295,The Gorgeous Hussy
296,The Great Ziegfeld
297,Guns and Guitars
298,His Brother's Wife
299,The Invisible Ray
300,Isle of Fury
301,The Lawless Nineties
302,Libeled Lady
303,The Man Who Changed His Mind
304,Modern Times
305,Mr. Deeds Goes to Town
306,My Man Godfrey
307,Naniwa erejî
308,The Old Corral
309,Page Miss Glory
310,Pennies from Heaven
311,The Petrified Forest
312,The Plainsman
313,Porky's Poultry Plant
314,Revolt of the Zombies
315,"Ride, Ranger, Ride"
316,Sabotage
317,Secret Agent
318,The Singing Cowboy
319,The Singing Vagabond
320,The Story of Louis Pasteur
321,Stowaway
322,Swing Time
323,Tarzan Escapes
324,Tell Your Children
325,Theodora Goes Wild
326,These Three
327,Things to Come
328,Thirteen Hours by Air
329,Partie de campagne
330,Westward Whoa
331,Wife vs. Secretary
332,Winds of the Wasteland
333,Yellow Dust
334,The Awful Truth
335,Camille
336,The Case of the Stuttering Pig
337,Charlie Chan at the Olympics
338,Charlie Chan on Broadway
339,Dark Journey
340,Death in the Air
341,The Good Earth
342,La grande illusion
343,Knight Without Armour
344,The Last Gangster
345,Lonesome Ghosts
346,Love from a Stranger
347,My Favorite Wife
348,Navy Blue and Gold
349,Nothing Sacred
350,On the Avenue
351,Orphan of the Pecos
352,Peeping Penguins
353,Porky's Romance
354,The Prisoner of Zenda
355,Public Cowboy No. 1
356,Renfrew of the Royal Mounted
357,Round-Up Time in Texas
358,Snow White and the Seven Dwarfs
359,Souls at Sea
360,Springtime in the Rockies
361,They Gave Him a Gun
362,They Won't Forget
363,"Think Fast, Mr. Moto"
364,This Is My Affair
365,Topper
366,True Confession
367,Wells Fargo
368,"Wine, Women and Horses"
369,The Woods Are Full of Cuckoos
370,Yodelin' Kid from Pine Ridge
371,Young and Innocent
372,The Adventures of Marco Polo
373,The Amazing Dr. Clitterhouse
374,Angels with Dirty Faces
375,Army Girl
376,Blondes at Work
377,Bringing Up Baby
378,Broadway Musketeers
379,Bulldog Drummond's Peril
380,La bête humaine
381,Cowboy from Brooklyn
382,The Daffy Doc
383,Daffy Duck in Hollywood
384,Donald's Better Self
385,Ferdinand the Bull
386,A Feud There Was
387,Flash Gordon's Trip to Mars
388,International Crime
389,Jezebel
390,Joy of Living
391,The Lady Vanishes
392,The Mad Miss Manton
393,Marie Antoinette
394,Merrily We Live
395,Mr. Moto Takes a Chance
396,Polar Trappers
397,Porky & Daffy
398,Porky in Wackyland
399,Porky's Hare Hunt
400,Porky's Party
401,Rhythm of the Saddle
402,The Saint in New York
403,The Shopworn Angel
404,Spawn of the North
405,Storm Over Bengal
406,Suez
407,Three Comrades
408,Too Hot to Handle
409,When Were You Born
410,Where the Buffalo Roam
411,You Can't Take It with You
412,The Adventures of Sherlock Holmes
413,Allegheny Uprising
414,Another Thin Man
415,Bachelor Mother
416,Balalaika
417,Beach Picnic
418,Blue Montana Skies
419,Charlie Chan at Treasure Island
420,Colorado Sunset
421,Daffy Duck and the Dinosaur
422,Daredevils of the Red Circle
423,Dark Victory
424,Destry Rides Again
425,Dodge City
426,Double Deal
427,Fast and Furious
428,Five Came Back
429,The Flying Deuces
430,Gaslight
431,Gone with the Wind
432,"Goodbye, Mr. Chips"
433,Gunga Din
434,Harlem Rides the Range
435,The Hound of the Baskervilles
436,The Ice Follies of 1939
